"""Preliminär Huvudbok""",,,,,,,,
Samis Jackets AB,,,,,,,,
559489-5301,,,,,,,,
"""Utskriftsdatum"": den 8 May 2026 11:20:44",,,,,,,,
,,,,,,,,
"""Räkenskapsår:"" 2024-07-01 - 2025-12-31",,,,,,,,
"""Avser perioden"" 2024-07-01 - 2025-12-31",,,,,,,,
,,,,,,,,
,,,,,,,,
"""Konto""","""Verifikation""","""Datum""","""Beskrivning""","""Momskod""","""Moms""","""Debet""","""Kredit""","""Saldo"""
"1220 Inventarier, verktyg och installationer",,,,,,,,
,A 719,2025-09-22,Hi3G telecom service,,,"1 288,80",,"10 144,78"
,,,"""Utgående saldo:""",,"0,00","10 144,78","0,00","10 144,78"
,,,,,,,,
5420 Programvaror,,,,,,,,
,,,"""Ingående saldo perioden:""",,,,,"0,00"
,A 434,2025-01-13,Paid to Shopify,,,"1 043,04",,"1 043,04"
,A 232,2025-01-28,Viva Wallet Card Purchase - CHILIMOBIL.SE,,,"499,00",,"1 542,04"
,A 580,2025-02-14,verfring - Programvara med moms,,,"560,00",,"2 102,04"
,A 186,2025-02-18,Viva Wallet Card Purchase - SHOPIFY* 330742565,,,"376,00",,"2 478,04"
,A 395,2025-03-12,Card transaction Shopify,,,"472,61",,"2 950,65"
,A 429,2025-03-12,Card transaction Shopify,,,"1,32",,"2 951,97"
,A 438,2025-03-12,Card transaction Shopify,,,"41,42",,"2 993,39"
,A 391,2025-03-13,Card transaction Shopify,,,"103,62",,"3 097,01"
,A 393,2025-03-13,Card transaction Shopify,,,"515,22",,"3 612,23"
,A 394,2025-03-13,Card transaction Shopify,,,"515,07",,"4 127,30"
,A 384,2025-03-17,Card transaction Apple,,,"249,00",,"4 376,30"
,A 385,2025-03-17,Card transaction Shopify,,,"1 436,59",,"5 812,89"
,A 378,2025-03-23,Card transaction Ant Ifoto.ai,,,"100,87",,"5 913,76"
,A 377,2025-03-24,Card transaction Google Play,,,"254,47",,"6 168,23"
,A 376,2025-03-25,Card transaction Apple,,,"999,00",,"7 167,23"
,A 373,2025-04-02,Card transaction OpenAI ChatGPT,,,"198,97",,"7 366,20"
,A 357,2025-04-16,Card transaction Shopify,,,"1 425,18",,"8 791,38"
,A 356,2025-04-17,Card transaction Norton,,,"191,00",,"8 982,38"
,A 355,2025-04-23,Card transaction Ant Ifoto.ai,,,"95,69",,"9 078,07"
,A 350,2025-05-20,Card transaction Shopify,,,"968,96",,"10 047,03"
,A 349,2025-05-27,Card transaction 2co.com imobie,,,"475,85",,"10 522,88"
,A 347,2025-06-15,Card transaction Shopify,,,"493,72",,"11 016,60"
,A 799,2025-10-24,One.com SEK 11.25 SEK,,,"9,00",,"11 025,60"
,A 800,2025-10-27,Google Play app SEK 176.40 SEK,,,"176,40",,"11 202,00"
,A 801,2025-10-27,Google Play app SEK 176.40 SEK,,,"176,40",,"11 378,40"
,A 802,2025-10-31,YouTube Premium SEK 10.00 SEK,,,"10,00",,"11 388,40"
,A 782,2025-11-24,APPLE.COM/BILL - iCloud company,,,"199,20",,"11 587,60"
,A 835,2025-12-14,Shopify abonnemang EUR 36.00 EUR,,,"414,00",,"12 001,60"
,A 840,2025-12-19,One.com USD 13.75 USD kurs 9.31722,,,"102,50",,"12 104,10"
,,,"""Utgående saldo:""",,"0,00","12 104,10","0,00","12 104,10"
,,,,,,,,
5460 Förbrukningsmaterial,,,,,,,,
,,,"""Ingående saldo perioden:""",,,,,"0,00"
,A 24,2024-10-08,Rusta,,,"946,64",,"946,64"
,A 26,2024-10-08,Biltema,,,"292,00",,"1 238,64"
,A 115,2024-10-08,JULA,,,"438,00",,"1 676,64"
,A 25,2024-10-09,Biltema,,,"1 547,52",,"3 224,16"
,A 15,2024-10-10,TEMU PO-191-055293649567125515,,,"1 624,48",,"4 848,64"
,A 28,2024-10-10,biltema,,,"960,80",,"5 809,44"
,A 35,2024-10-10,Clas Ohlson,,,"60,00",,"5 869,44"
,A 27,2024-10-12,Biltema,,,"399,20",,"6 268,64"
,A 30,2024-10-15,Clas Ohlson,,,"192,08",,"6 460,72"
,A 16,2024-10-18,TEMU PO-191-06903722854952515,,,"972,54",,"7 433,26"
,A 22,2024-10-28,Clas Ohlson,,,"199,20",,"7 632,46"
,A 29,2024-10-28,Biltema,,,"319,20",,"7 951,66"
,A 31,2024-10-28,Clas Ohlson,,,"32,02",,"7 983,68"
,A 14,2024-10-29,TEMU PO-191-15837295250472515,,,"371,10",,"8 354,78"
,A 49,2024-11-07,Biltema,,,"131,76",,"8 486,54"
,A 50,2024-11-07,RUSTA,,,"39,92",,"8 526,46"
,A 57,2024-11-07,Clas Ohlson,,,"519,12",,"9 045,58"
,A 56,2024-11-11,Clas Ohlson,,,"319,20",,"9 364,78"
,A 58,2024-11-12,Clas Ohlson,,,,"439,18","8 925,60"
,A 228,2025-01-30,Viva Wallet Card Purchase - Temu.com,,,"1 400,00",,"10 325,60"
,A 225,2025-01-31,Viva Wallet Card Purchase - Temu.com,,,"226,00",,"10 551,60"
,A 208,2025-02-06,Viva Wallet Card Refund - CLAS OHLSON,,,,"159,00","10 392,60"
,A 209,2025-02-06,Viva Wallet Card Purchase - CLAS OHLSON,,,"494,00",,"10 886,60"
,A 190,2025-02-16,Viva Wallet Card Purchase - BILTEMA ESKILSTUNA,,,"713,00",,"11 599,60"
,A 185,2025-02-18,Viva Wallet Card Purchase - CLAS OHLSON,,,"55,00",,"11 654,60"
,A 597,2025-06-30,Allokering frbrukningsmaterial frn import,,,"2 249,62",,"13 904,22"
,A 624,2025-07-03,TEMU.COM - Business supplies,,,"339,00",,"14 243,22"
,A 625,2025-07-08,TEMU.COM - Business supplies,,,"702,00",,"14 945,22"
,A 797,2025-10-17,Temu forpackning SEK 548.87 SEK,,,"548,87",,"15 494,09"
,A 804,2025-11-01,Temu refund SEK 30.97 SEK,,,,"30,97","15 463,12"
,,,"""Utgående saldo:""",,"0,00","16 092,27","629,15","15 463,12"
,,,,,,,,
"5610 Personbils- och mc-kostnader, m.m.",,,,,,,,
,,,"""Ingående saldo perioden:""",,,,,"0,00"
,A 37,2024-10-16,Aimo Park Sweden,,,"252,95",,"252,95"
,A 17,2024-10-31,AIMO PARK - HYRESAVI F.41986401814,,,"1 490,32",,"1 743,27"
,A 61,2024-11-15,Aimo Park Sweden,,,"252,95",,"1 996,22"
,A 75,2024-11-16,Aimo Park Sweden,,,"252,95",,"2 249,17"
,A 76,2024-12-16,Aimo Park Sweden,,,"252,95",,"2 502,12"
,A 79,2024-12-19,Aimo Park Sweden,,,"252,95",,"2 755,07"
,A 89,2024-12-30,AIMO PARK - HYRESAVI F.41986486320,,,"1 113,26",,"3 868,33"
,A 458,2025-01-08,Swish betalning EASYPARK AB - Business parking,,,"19,00",,"3 887,33"
,A 459,2025-03-03,Kortkp ST1 GILLBERGAPLAN - Business fuel,,,"757,40",,"4 644,73"
,A 386,2025-03-16,Card transaction OKQ8,,,"99,00",,"4 743,73"
,A 362,2025-04-14,Card refund St1,,,,"1 160,88","3 582,85"
,A 363,2025-04-14,Card transaction St1,,,"2 000,00",,"5 582,85"
,A 460,2025-06-26,Kortkp Besikta Eskilstuna - Business vehicle inspection,,,"359,00",,"5 941,85"
,A 622,2025-07-05,Moneygram Greece - business travel,,,"2 944,11",,"8 885,96"
,A 623,2025-07-06,Sormland traffic business travel,,,"18,40",,"8 904,36"
,A 627,2025-07-07,Aviation fee - flight booking,,,"28,00",,"8 932,36"
,A 634,2025-07-14,Fatoora Riyadh - business travel,,,"906,03",,"9 838,39"
,A 730,2025-08-10,Resecentrum travel booking,,,"908,80",,"10 747,19"
,A 731,2025-08-11,National Express - business transport,,,"279,99",,"11 027,18"
,A 732,2025-08-26,Budgetair flight booking,,,"555,88",,"11 583,06"
,A 733,2025-09-05,Aviation fee,,,"31,20",,"11 614,26"
,A 709,2025-09-06,Malardalstrafik business transport,,,"293,60",,"11 907,86"
,A 813,2025-11-23,St1 drivmedel EUR 37.82 EUR kurs 10.999,,,"332,76",,"12 240,62"
,A 833,2025-12-12,Circle K drivmedel USD 67.13 USD kurs 9.28897,,,"498,82",,"12 739,44"
,A 849,2025-12-29,St1 drivmedel USD 96.07 USD kurs 9.17915,,,"705,48",,"13 444,92"
,,,"""Utgående saldo:""",,"0,00","14 605,80","1 160,88","13 444,92"
,,,,,,,,
"5611 Drivmedel för personbilar, mc, m.m.",,,,,,,,
,,,"""Ingående saldo perioden:""",,,,,"0,00"
,A 11,2024-09-06,(ST1 ESKILSTUNA),,,"667,63",,"667,63"
,A 12,2024-09-10,utgift/kostnad ( DARA ENERGI A.S) DRIVMEDEL,,,"652,06",,"1 319,69"
,A 159,2024-09-11,Preem Rosersberg,,,,"618,30","701,39"
,A 40,2024-10-01,utgift/kostnad (okq8 drivmedel ),,,"550,29",,"1 251,68"
,A 39,2024-10-02,utgift/kostnad (okq8 drivmedel ),,,"745,39",,"1 997,07"
,A 62,2024-10-08,utgift/kostnad (okq8),,,"687,59",,"2 684,66"
,A 38,2024-10-28,utgift/kostnad (shell drivmedel ),,,"672,45",,"3 357,11"
,A 64,2024-11-07,utgift/kostnad (ST1),,,"676,93",,"4 034,04"
,A 74,2024-11-29,utgift/kostnad ( circle K),,,"691,81",,"4 725,85"
,A 78,2024-12-03,(okq8),,,"419,52",,"5 145,37"
,A 84,2024-12-03,utgift/kostnad (shell e4 norr),,,"159,00",,"5 304,37"
,A 192,2025-02-15,Viva Wallet Card Purchase - St1 Gillbergaplan,,,"512,00",,"5 816,37"
,A 729,2025-09-30,St1 Gillbergaplan fuel,,,"784,62",,"6 600,99"
,A 776,2025-10-06,St1 Gillbergaplan - Company fuel,,,"725,18",,"7 326,17"
,,,"""Utgående saldo:""",,"0,00","7 944,47","618,30","7 326,17"
,,,,,,,,
"5619 Övriga kostnader för personbilar och mc, m.m.",,,,,,,,
,,,"""Ingående saldo perioden:""",,,,,"0,00"
,A 140,2024-10-03,Aimo Park Sweden,,,"154,90",,"154,90"
,A 138,2024-10-07,Aimo Park Sweden,,,"89,85",,"244,75"
,A 137,2024-10-09,Aimo Park Sweden,,,"29,95",,"274,70"
,A 136,2024-10-12,Aimo Park Sweden,,,"158,90",,"433,60"
,A 135,2024-10-27,Aimo Park Sweden,,,"29,95",,"463,55"
,A 47,2024-10-29,Aimo Park Sweden,,,"29,99",,"493,54"
,A 134,2024-10-29,Aimo Park Sweden,,,"29,95",,"523,49"
,A 153,2024-10-30,Aimo Park Sweden,,,"1 000,00",,"1 523,49"
,A 67,2024-11-28,utgift/kostnad (eparkera ),,,"64,85",,"1 588,34"
,A 126,2024-12-03,(eparkera session 252),,,"36,90",,"1 625,24"
,,,"""Utgående saldo:""",,"0,00","1 625,24","0,00","1 625,24"
,,,,,,,,
"5620 Lastbils- och busskostnader, m.m.",,,,,,,,
,,,"""Ingående saldo perioden:""",,,,,"0,00"
,A 670,2025-08-26,Car insurance Bilforsakring,,,"849,00",,"849,00"
,,,"""Utgående saldo:""",,"0,00","849,00","0,00","849,00"
,,,,,,,,
5700 Frakter och transporter (gruppkonto),,,,,,,,
,,,"""Ingående saldo perioden:""",,,,,"0,00"
,A 598,2025-06-30,Allokering frakt- och transportkostnader frn import,,,"114 392,93",,"114 392,93"
,A 600,2025-06-30,235-IST-266493095 invoice 42 shipping from turkey ,,,"44 500,00",,"158 892,93"
,A 606,2025-06-30,fixing invintory costs ,,,,"158 892,00","0,93"
,A 864,2025-10-14,Frakt PostNord 50207042,,,"339,20",,"340,13"
,A 810,2025-11-14,Shipit.se frakt EUR 91.08 EUR kurs 10.9795,,,"800,00",,"1 140,13"
,A 902,2025-11-24,Frakt PostNord 52494309,,,"734,96",,"1 875,09"
,A 903,2025-11-24,Frakt PostNord 52494309,,,"1 548,69",,"3 423,78"
,A 905,2025-11-25,Frakt DB Schenker 9423047,,,"1 726,40",,"5 150,18"
,A 927,2025-12-15,Frakt 50516822,,,"2 332,00",,"7 482,18"
,A 928,2025-12-15,Frakt DB Schenker 9423047,,,"101,60",,"7 583,78"
,A 929,2025-12-15,Frakt DB Schenker 9423047,,,"189,60",,"7 773,38"
,A 930,2025-12-15,Frakt DB Schenker 9423047,,,"790,40",,"8 563,78"
,A 931,2025-12-15,Frakt DB Schenker 9423047,,,"2 490,40",,"11 054,18"
,A 932,2025-12-15,Frakt DB Schenker 9423047,,,"116,00",,"11 170,18"
,A 933,2025-12-15,Frakt PostNord 52494309,,,"311,20",,"11 481,38"
,A 937,2025-12-17,Frakt DB Schenker 9423047,,,"95,20",,"11 576,58"
,A 938,2025-12-17,Frakt DB Schenker 9423047,,,"61,44",,"11 638,02"
,A 943,2025-12-29,Frakt DB Schenker 9423047,,,"199,50",,"11 837,52"
,A 944,2025-12-29,Frakt DB Schenker 9423047,,,"84,00",,"11 921,52"
,,,"""Utgående saldo:""",,"0,00","170 813,52","158 892,00","11 921,52"
,,,,,,,,
5800 Resekostnader (gruppkonto),,,,,,,,
,,,"""Ingående saldo perioden:""",,,,,"0,00"
,A 321,2024-12-04,Viva Wallet Card Purchase - mytrip_1045449237,,,"9 945,00",,"9 945,00"
,A 426,2025-04-05,Card transaction Ryanair,,,"813,84",,"10 758,84"
,A 427,2025-04-05,Card transaction Pegasus,,,"492,36",,"11 251,20"
,A 358,2025-04-14,Card transaction Dohop,,,"810,61",,"12 061,81"
,A 359,2025-04-14,Card refund Dohop,,,,"802,37","11 259,44"
,A 360,2025-04-14,Card transaction Dohop,,,"802,37",,"12 061,81"
,,,"""Utgående saldo:""",,"0,00","12 864,18","802,37","12 061,81"
,,,,,,,,
5810 Biljetter,,,,,,,,
,,,"""Ingående saldo perioden:""",,,,,"0,00"
,A 139,2024-10-07,sj app,,,"214,00",,"214,00"
,A 95,2024-12-04,flygbiljett,,,"9 945,82",,"10 159,82"
,A 779,2025-10-10,PEGASUS Turkey flight - Company travel,,,"867,14",,"11 026,96"
,A 814,2025-11-25,Booking.com flight EUR 624.99 EUR kurs 1.15685,,,"7 187,39",,"18 214,35"
,A 815,2025-11-25,Booking.com USD 0.98 USD,,,"9,02",,"18 223,37"
,A 816,2025-11-27,Forex EUR 2.91 EUR kurs 10.9894,,,"25,61",,"18 248,98"
,A 817,2025-11-27,Arlanda Walk Through EUR 32.00 EUR kurs 10.9989,,,"281,60",,"18 530,58"
,A 818,2025-11-27,Jureskog mat EUR 52.65 EUR kurs 10.9975,,,"516,96",,"19 047,54"
,A 819,2025-11-27,Take Away Mart EUR 4.46 EUR kurs 10.9952,,,"43,75",,"19 091,29"
,A 820,2025-11-28,Beijing Airport mat EUR 0.98 EUR kurs 8.19996 CNY,,,"10,90",,"19 102,19"
,A 830,2025-12-11,Beijing mat USD 75.61 USD kurs 7.0621 CNY,,,"700,65",,"19 802,84"
,A 831,2025-12-11,Malardalstrafik USD 79.49 USD kurs 9.23423,,,"692,45",,"20 495,29"
,A 834,2025-12-12,Fadushka mat USD 2.16 USD kurs 9.27977,,,"17,86",,"20 513,15"
,,,"""Utgående saldo:""",,"0,00","20 513,15","0,00","20 513,15"
,,,,,,,,
5830 Kost och logi,,,,,,,,
,,,"""Ingående saldo perioden:""",,,,,"0,00"
,A 8,2024-08-26,"(THE GREEN OTEL)Business Travel: Airfare for M.S. Alsharef, supplier sourcing",,,"2 484,60",,"2 484,60"
,A 85,2024-12-04,utgift/kostnad (hotel Booking.com ),,,"1 985,03",,"4 469,63"
,A 82,2024-12-21,utgift/kostnad (hotel Booking.com ),,,"3 475,58",,"7 945,21"
,,,"""Utgående saldo:""",,"0,00","7 945,21","0,00","7 945,21"
,,,,,,,,
5890 Övriga resekostnader,,,,,,,,
,,,"""Ingående saldo perioden:""",,,,,"0,00"
,A 4,2024-08-01,"Business Travel: Airfare for M.S. Alsharef, supplier sourcing",,,"1 306,49",,"1 306,49"
,A 160,2024-08-25,(EDREAMS 348577891 MADRID),,,"1 251,06",,"2 557,55"
,A 6,2024-08-26,"(PEGASUS ISTANBUL)Business Travel: Airfare for M.S. Alsharef, supplier sourcing",,,"1 039,99",,"3 597,54"
,A 146,2024-08-26,sipay/taksi yonetim,,,"440,65",,"4 038,19"
,A 145,2024-08-27,uber *trip,,,"40,06",,"4 078,25"
,A 10,2024-09-06,(AJET.COM ISTANBUL),,,"291,57",,"4 369,82"
,A 161,2024-09-06,( mlartg),,,"348,00",,"4 717,82"
,A 144,2024-09-12,Pegasus hava tasimacilik,,,"154,66",,"4 872,48"
,A 158,2024-10-03,Ryanair Ltd. Dublin,,,"192,08",,"5 064,56"
,A 162,2024-10-03,OPODO internet transaktion,,,"5 967,68",,"11 032,24"
,A 80,2024-12-06,utgift/kostnad (hotel Booking.com ),,,"1 971,52",,"13 003,76"
,,,"""Utgående saldo:""",,"0,00","13 003,76","0,00","13 003,76"
,,,,,,,,
5900 Reklam och PR (gruppkonto),,,,,,,,
,,,"""Ingående saldo perioden:""",,,,,"0,00"
,A 594,2025-06-30,Allokering marknadsfringskostnader frn import,,,"37 738,29",,"37 738,29"
,A 605,2025-06-30,Marknadsfringsgvor enligt 15% policy fr kinaprodukter,,,"18 181,70",,"55 919,99"
,A 609,2025-07-01,Clear opening 1469 balance - previous period marketing gifts,,,,"18 180,90","37 739,09"
,A 615,2025-07-01,TikTok advertising,,,"55,77",,"37 794,86"
,A 740,2025-07-15,Shopify EUR card purchase - Wise USD,,,"398,01",,"38 192,87"
,A 626,2025-07-19,TikTok Ads - Marketing expense,,,"2 000,00",,"40 192,87"
,A 654,2025-08-01,Facebook advertising,,,"125,00",,"40 317,87"
,A 667,2025-08-16,Shopify advertising EUR,,,"409,08",,"40 726,95"
,A 678,2025-08-28,TikTok advertising,,,"90,00",,"40 816,95"
,A 679,2025-08-29,TikTok reversal credit,,,,"90,00","40 726,95"
,A 680,2025-08-29,Facebook advertising,,,"138,00",,"40 864,95"
,A 681,2025-08-29,Facebook advertising,,,"21,09",,"40 886,04"
,A 682,2025-08-29,Facebook advertising,,,"152,00",,"41 038,04"
,A 683,2025-08-29,Facebook advertising,,,"14,55",,"41 052,59"
,A 684,2025-08-30,Facebook advertising,,,"167,00",,"41 219,59"
,A 685,2025-08-30,Facebook advertising,,,"49,33",,"41 268,92"
,A 686,2025-08-31,Facebook advertising,,,"184,00",,"41 452,92"
,A 687,2025-08-31,Facebook advertising,,,"45,23",,"41 498,15"
,A 691,2025-09-01,TikTok advertising,,,"267,72",,"41 765,87"
,A 694,2025-09-02,Facebook ad credit reversal,,,,"184,00","41 581,87"
,A 736,2025-09-02,Shopify advertising EUR,,,"156,65",,"41 738,52"
,A 698,2025-09-03,Facebook advertising,,,"65,77",,"41 804,29"
,A 701,2025-09-04,Facebook advertising,,,"202,00",,"42 006,29"
,A 702,2025-09-04,Facebook advertising,,,"184,00",,"42 190,29"
,A 703,2025-09-04,Facebook advertising,,,"221,00",,"42 411,29"
,A 704,2025-09-04,Facebook advertising,,,"18,73",,"42 430,02"
,A 705,2025-09-04,Facebook advertising,,,"241,00",,"42 671,02"
,A 712,2025-09-13,Shopify advertising EUR,,,"400,82",,"43 071,84"
,A 720,2025-09-24,TikTok advertising,,,"1 588,00",,"44 659,84"
,A 612,2025-09-30,Expense Q3 2025 marketing gifts - clean 1469 to zero,,,"11 337,54",,"55 997,38"
,A 995,2025-10-01,TikTok Ads - Marknadsforing,,,"1 070,11",,"57 067,49"
,A 1019,2025-10-05,Tubekick - Underhllning/Fretag,,,"104,85",,"57 172,34"
,A 803,2025-11-01,TikTok Ads SEK 748.05 SEK,,,"748,05",,"57 920,39"
,A 805,2025-11-01,TikTok Ads EUR 23.45 EUR kurs 10.9513,,,"256,81",,"58 177,20"
,A 811,2025-11-19,TikTok Ads EUR 178.32 EUR kurs 11.0027,,,"1 962,00",,"60 139,20"
,A 975,2025-11-28,Kontantuttagsavgift - Remamber kort avgift,,,"240,00",,"60 379,20"
,A 999,2025-12-01,TikTok Ads - Marknadsforing,,,"29,03",,"60 408,23"
,A 1000,2025-12-03,TikTok Ads - Marknadsforing,,,"2 744,00",,"63 152,23"
,A 976,2025-12-05,Aviavgift - Remamber kortavgift,,,"31,20",,"63 183,43"
,A 977,2025-12-05,vertrasseringsavgift - Remamber,,,"76,00",,"63 259,43"
,A 843,2025-12-25,TikTok Ads USD 179.76 USD kurs 9.17929,,,"1 650,10",,"64 909,53"
,A 850,2025-12-30,TikTok Ads USD 152.94 USD kurs 9.19322,,,"1 406,00",,"66 315,53"
,A 851,2025-12-31,TikTok Ads USD 152.46 USD kurs 9.22201,,,"1 406,00",,"67 721,53"
,A 970,2025-12-31,Reklamgavor till kunder Q4 2025,,,"26 238,05",,"93 959,58"
,,,"""Utgående saldo:""",,"0,00","112 414,48","18 454,90","93 959,58"
,,,,,,,,
5910 Annonsering,,,,,,,,
,,,"""Ingående saldo perioden:""",,,,,"0,00"
,A 141,2024-10-01,Google GSUITE-samisjack (google workspace),,,"10,64",,"10,64"
,A 71,2024-11-13,(google ads 5215017274),,,"100,00",,"110,64"
,A 132,2024-11-17,(google ads5215017274),,,"500,00",,"610,64"
,A 101,2024-11-18,Tiktok Ads*tiktok Ads Dublin,,,"90,00",,"700,64"
,A 102,2024-11-18,Tiktok Ads* tiktok Ads Dublin,,,"90,00",,"790,64"
,A 103,2024-11-18,Tiktok Ads*tiktok Ads Dublin,,,"40,00",,"830,64"
,A 104,2024-11-19,Tiktok Ads*tiktok Ads Dublin,,,"180,00",,"1 010,64"
,A 131,2024-11-19,SNAP *snap ads,,,"262,52",,"1 273,16"
,A 105,2024-11-20,Tiktok Ads*tiktok Ads Dublin,,,"450,00",,"1 723,16"
,A 128,2024-11-20,Google GSUITE-samisjack (google workspace),,,"1 000,00",,"2 723,16"
,A 130,2024-11-20,SNAP *snap ads,,,"223,16",,"2 946,32"
,A 72,2024-11-21,utgift/kostnad (google ads 5215017274),,,"2 000,00",,"4 946,32"
,A 129,2024-11-21,SNAP *snap ads,,,"157,80",,"5 104,12"
,A 73,2024-11-23,utgift/kostnad (google ads 5215017274),,,"3 500,00",,"8 604,12"
,A 100,2024-11-23,tiktok ads,,,"450,00",,"9 054,12"
,A 106,2024-11-25,Tiktok Ads*tiktok Ads London,,,"450,00",,"9 504,12"
,A 107,2024-11-26,Facebook Ads /Dublin,,,"315,00",,"9 819,12"
,A 108,2024-11-27,Facebook Ads /Dublin,,,"492,00",,"10 311,12"
,A 109,2024-11-28,Facebook Ads /Dublin,,,"783,00",,"11 094,12"
,A 110,2024-11-29,Facebook Ads /Dublin,,,"344,00",,"11 438,12"
,A 111,2024-11-30,Facebook Ads /Dublin,,,"379,00",,"11 817,12"
,A 116,2024-11-30,utgift/kostnad (google ads),,,"7 100,00",,"18 917,12"
,A 81,2024-12-01,(google ads 5215017274),,,"2 708,96",,"21 626,08"
,A 112,2024-12-01,Tiktok Ads*tiktok Ads London,,,"66,41",,"21 692,49"
,A 113,2024-12-01,Facebook Ads /Dublin,,,"417,00",,"22 109,49"
,A 114,2024-12-02,Facebook Ads /Dublin,,,"459,00",,"22 568,49"
,A 118,2024-12-03,meta facebook ads,,,"505,00",,"23 073,49"
,A 127,2024-12-03,Google GSUITE-samisjack (google workspace),,,"162,14",,"23 235,63"
,A 119,2024-12-04,meta facebook ads,,,"556,00",,"23 791,63"
,A 120,2024-12-08,meta facebook ads,,,"556,63",,"24 348,26"
,A 121,2024-12-25,meta facebook ads,,,"464,60",,"24 812,86"
,A 122,2024-12-28,meta facebook ads,,,"556,00",,"25 368,86"
,A 123,2024-12-28,meta facebook ads,,,"612,00",,"25 980,86"
,A 258,2025-01-20,Viva Wallet Card Purchase - FACEBK *4SMPEFYP52,,,"50,00",,"26 030,86"
,A 259,2025-01-20,Viva Wallet Card Purchase - FACEBK *9R5X8G8Q52,,,"22,00",,"26 052,86"
,A 260,2025-01-20,Viva Wallet Card Purchase - FACEBK *73Q8KHUQ52,,,"18,00",,"26 070,86"
,A 261,2025-01-20,Viva Wallet Card Purchase - FACEBK *26JAVGGQ52,,,"22,00",,"26 092,86"
,A 262,2025-01-20,Viva Wallet Card Purchase - FACEBK *Y3Y8EFYP52,,,"22,00",,"26 114,86"
,A 263,2025-01-20,Viva Wallet Card Purchase - FACEBK *XV4LEFYP52,,,"15,00",,"26 129,86"
,A 264,2025-01-20,Viva Wallet Card Purchase - FACEBK *SZTWUGGQ52,,,"21,00",,"26 150,86"
,A 265,2025-01-20,Viva Wallet Card Purchase - FACEBK *GY53QFUP52,,,"22,00",,"26 172,86"
,A 266,2025-01-20,Viva Wallet Card Purchase - FACEBK *F95NHGQQ52,,,"22,00",,"26 194,86"
,A 267,2025-01-20,Viva Wallet Card Purchase - FACEBK *AE7DEFYP52,,,"22,00",,"26 216,86"
,A 268,2025-01-20,Viva Wallet Card Purchase - FACEBK *8RHZBG4Q52,,,"33,00",,"26 249,86"
,A 269,2025-01-20,Viva Wallet Card Purchase - FACEBK *Z2VMEFYP52,,,"33,00",,"26 282,86"
,A 270,2025-01-20,Viva Wallet Card Purchase - FACEBK *ZHKQEFYP52,,,"19,00",,"26 301,86"
,A 251,2025-01-21,Viva Wallet Card Purchase - FACEBK *E4QVEFYP52,,,"50,00",,"26 351,86"
,A 252,2025-01-21,Viva Wallet Card Purchase - FACEBK *PBLRLFLQ52,,,"50,00",,"26 401,86"
,A 253,2025-01-21,Viva Wallet Card Purchase - FACEBK *NDBXCG4Q52,,,"27,00",,"26 428,86"
,A 243,2025-01-25,Viva Wallet Card Purchase - FACEBK *F9GBGG8Q52,,,"16,00",,"26 444,86"
,A 203,2025-02-08,Viva Wallet Card Purchase - TikTok Ads,,,"728,00",,"27 172,86"
,A 197,2025-02-10,Viva Wallet Card Purchase - TikTok Ads,,,"728,00",,"27 900,86"
,A 198,2025-02-10,Viva Wallet Card Purchase - FACEBK *3L4QAGYC72,,,"417,00",,"28 317,86"
,A 179,2025-03-01,Viva Wallet Card Purchase - TikTok Ads,,,"58,00",,"28 375,86"
,,,"""Utgående saldo:""",,"0,00","28 375,86","0,00","28 375,86"
,,,,,,,,
5911 AI-marknadsforingsverktyg,,,,,,,,
,,,"""Ingående saldo perioden:""",,,,,"0,00"
,A 156,2024-11-14,AI-marknadsfring OPENAI,,,"112,11",,"112,11"
,A 157,2024-11-29,AI-marknadsfring PictoryAI,,,"2 616,99",,"2 729,10"
,A 148,2024-12-27,AI-marknadsfring,,,"11,30",,"2 740,40"
,,,"""Utgående saldo:""",,"0,00","2 740,40","0,00","2 740,40"
,,,,,,,,
5920 Utomhus- och trafikreklam,,,,,,,,
,,,"""Ingående saldo perioden:""",,,,,"0,00"
,A 666,2025-08-16,Clas Ohlson business supplies,,,"63,92",,"63,92"
,A 668,2025-08-16,IN & FINN AB business supplies,,,"192,80",,"256,72"
,,,"""Utgående saldo:""",,"0,00","256,72","0,00","256,72"
,,,,,,,,
6110 Kontorsmateriel,,,,,,,,
,,,"""Ingående saldo perioden:""",,,,,"0,00"
,A 34,2024-10-11,biltema,,,"641,60",,"641,60"
,A 54,2024-11-07,Clas Ohlson,,,"144,02",,"785,62"
,,,"""Utgående saldo:""",,"0,00","785,62","0,00","785,62"
,,,,,,,,
6212 Mobiltelefon,,,,,,,,
,,,"""Ingående saldo perioden:""",,,,,"0,00"
,A 152,2024-10-24,apple.com bill,,,"250,00",,"250,00"
,A 133,2024-11-16,apple.com bill,,,"18,00",,"268,00"
,A 149,2024-11-18,apple.com bill,,,"39,00",,"307,00"
,A 151,2024-11-30,apple.com bill,,,"249,00",,"556,00"
,A 124,2024-12-01,hallon tele,,,"95,00",,"651,00"
,A 86,2024-12-04,(yesim) simkort,,,"235,82",,"886,82"
,A 87,2024-12-05,(yesim) simkort,,,"560,39",,"1 447,21"
,A 125,2024-12-16,apple.com bill,,,"18,00",,"1 465,21"
